name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
114 Faubourg,"Rue du Faubourg Saint-Honoré, Paris, France",Paris,,,restaurant,,€€€€,4.7,454,48.8717796,2.3144678,https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/,https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923,"Type: French Restaurant
Price: €€€€
Google: 4.7 (454 reviews)
Food types: restaurant
Tags: Bistrot, Frenchie, Gastro / higher end
Google summary: Elevated dishes & tasting menus in a chic brasserie with plush seats & bold floral wall prints.
Google Maps: https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/
Booking: https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923"
ANONA,"80 boulevard des Batignolles, Paris 75017",Paris,17e,,restaurant,,,4.7,1702,48.8820038,2.318627,https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.anona.fr/,https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 17e
Google: 4.7 (1,702 reviews)
Food types: restaurant
Tags: Gastro / higher end
Google summary: Sophisticated cuisine & tasting menus with a sustainable focus at a sleek venue with a terrace.
Google Maps: https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.anona.fr/
Booking: https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Akabeko − Restaurant Fusion Français et Japonais,"40 Rue de l'Université, 75007 Paris, France",Paris,7e,,restaurant,,,4.8,635,48.8576718,2.3284201,https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://akabekorestaurant.com/,https://akabekorestaurant.com/restaurant-reserver/,"Type: French Restaurant
Arrondissement: 7e
Google: 4.8 (635 reviews)
Food types: restaurant
Tags: Gastro / higher end, Restaurant
Google Maps: https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://akabekorestaurant.com/
Booking: https://akabekorestaurant.com/restaurant-reserver/"
Ambos,"38 Rue de Vaugirard, 75006 Paris, France",Paris,6e,,restaurant,,,4.8,472,48.8493205,2.335224,https://maps.google.com/?cid=13800952535615180196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.ambos-restaurant.fr/,https://thefork.fr/restaurant/ambos-r745197/?cc=24751-923,"Type: French Restaurant
Arrondissement: 6e
Google: 4.8 (472 reviews)
Food types: restaurant
Tags: Gastro / higher end, Thaï, Frenchie
Google Maps: https://maps.google.com/?cid=13800952535615180196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.ambos-restaurant.fr/
Booking: https://thefork.fr/restaurant/ambos-r745197/?cc=24751-923"
Anne,"28 Place des Vosges, 75003 Paris, France",Paris,3e,,restaurant,,,4.8,551,48.8562363,2.3660257,https://maps.google.com/?cid=2852299900381324740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.pavillon-de-la-reine.com/fr/restaurant-et-bar/restaurant-anne.html,https://bookings.zenchef.com/results?rid=358340&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Fine Dining Restaurant
Arrondissement: 3e
Google: 4.8 (551 reviews)
Food types: restaurant
Tags: Gastro / higher end
Google Maps: https://maps.google.com/?cid=2852299900381324740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.pavillon-de-la-reine.com/fr/restaurant-et-bar/restaurant-anne.html
Booking: https://bookings.zenchef.com/results?rid=358340&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Astrance,"32 Rue de Longchamp, 75116 Paris, France",Paris,16e,,restaurant,,€€€€,4.5,446,48.8655418,2.2831628,https://maps.google.com/?cid=1475113752476653515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.astrancerestaurant.com/,https://thefork.fr/restaurant/astrance-r688509/?cc=24751-923,"Type: French Restaurant
Arrondissement: 16e
Price: €€€€
Google: 4.5 (446 reviews)
Food types: restaurant
Tags: Gastro / higher end, Restaurant
Google Maps: https://maps.google.com/?cid=1475113752476653515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.astrancerestaurant.com/
Booking: https://thefork.fr/restaurant/astrance-r688509/?cc=24751-923"
Aux Lyonnais,32 rue Saint-Marc Paris 75002,Paris,2e,,restaurant,,€€€,4.4,1246,48.8707405,2.3387362,https://maps.google.com/?cid=868440092026751739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.auxlyonnais.com/,https://bookings.zenchef.com/results?rid=373682&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 2e
Price: €€€
Google: 4.4 (1,246 reviews)
Food types: restaurant
Tags: Bistrot, Gastro / higher end
Google summary: Sophisticated takes on classic Lyon specialties in an elegant Art Deco bistro with vintage features.
Google Maps: https://maps.google.com/?cid=868440092026751739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.auxlyonnais.com/
Booking: https://bookings.zenchef.com/results?rid=373682&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Blueberry Maki Bar,"6 Rue du Sabot, 75006 Paris, France",Paris,6e,,restaurant,,,4.5,1510,48.85277059999999,2.3314671,https://maps.google.com/?cid=5139195972309453817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.blueberrymakibar.com/,https://www.blueberrymakibar.com/menus,"Type: Sushi Restaurant
Arrondissement: 6e
Google: 4.5 (1,510 reviews)
Food types: restaurant
Tags: Japanese, Restaurant, Gastro / higher end, Trendy
Google summary: Chic modern Japanese-style gastrobar with an open kitchen, serving creative sushi rolls & cocktails.
Google Maps: https://maps.google.com/?cid=5139195972309453817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.blueberrymakibar.com/
Booking: https://www.blueberrymakibar.com/menus"
Bonnie Club,"17 boulevard Morland, Paris 75004",Paris,4e,,restaurant,,,2.8,479,48.84999291245329,2.363233160730536,https://maps.google.com/?cid=4384601614667449030&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://bonnie-restaurant.com/,,"Type: Night Club
Arrondissement: 4e
Google: 2.8 (479 reviews)
Food types: restaurant
Tags: Restaurant, Gastro / higher end
Google Maps: https://maps.google.com/?cid=4384601614667449030&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://bonnie-restaurant.com/"
Boubalé,"Rue des Archives, Paris, France",Paris,,,restaurant,,,4.2,646,48.8573066,2.354373,https://maps.google.com/?cid=17646922851684278211&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.legrandmazarin.com/restaurant/,https://thefork.fr/restaurant/boubale-r831784/?cc=24751-923,"Type: Mediterranean Restaurant
Google: 4.2 (646 reviews)
Food types: restaurant
Tags: Israeli, Gastro / higher end
Google Maps: https://maps.google.com/?cid=17646922851684278211&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.legrandmazarin.com/restaurant/
Booking: https://thefork.fr/restaurant/boubale-r831784/?cc=24751-923"
