name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
114 Faubourg,"Rue du Faubourg Saint-Honoré, Paris, France",Paris,,,restaurant,,€€€€,4.7,454,48.8717796,2.3144678,https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/,https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923,"Type: French Restaurant
Price: €€€€
Google: 4.7 (454 reviews)
Food types: restaurant
Tags: Bistrot, Frenchie, Gastro / higher end
Google summary: Elevated dishes & tasting menus in a chic brasserie with plush seats & bold floral wall prints.
Google Maps: https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/
Booking: https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923"
A La Renaissance,"87 Rue de la Roquette, 75011 Paris, France",Paris,11e,,bar,,€€,4.3,510,48.8571599,2.3786809,https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.restaurant-a-la-renaissance.com/,,"Type: Bistro
Arrondissement: 11e
Price: €€
Google: 4.3 (510 reviews)
Food types: bar
Tags: Bistrot, Dancing
Google Maps: https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.restaurant-a-la-renaissance.com/"
ANONA,"80 boulevard des Batignolles, Paris 75017",Paris,17e,,restaurant,,,4.7,1702,48.8820038,2.318627,https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.anona.fr/,https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 17e
Google: 4.7 (1,702 reviews)
Food types: restaurant
Tags: Gastro / higher end
Google summary: Sophisticated cuisine & tasting menus with a sustainable focus at a sleek venue with a terrace.
Google Maps: https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.anona.fr/
Booking: https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Akabeko − Restaurant Fusion Français et Japonais,"40 Rue de l'Université, 75007 Paris, France",Paris,7e,,restaurant,,,4.8,635,48.8576718,2.3284201,https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://akabekorestaurant.com/,https://akabekorestaurant.com/restaurant-reserver/,"Type: French Restaurant
Arrondissement: 7e
Google: 4.8 (635 reviews)
Food types: restaurant
Tags: Gastro / higher end, Restaurant
Google Maps: https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://akabekorestaurant.com/
Booking: https://akabekorestaurant.com/restaurant-reserver/"
Allard,41 rue Saint-André Des Arts Paris 75006,Paris,6e,,restaurant,,€€€,4.3,1269,48.85330320000001,2.3410216,https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.restaurant-allard.fr/,https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 6e
Price: €€€
Google: 4.3 (1,269 reviews)
Food types: restaurant
Tags: Frenchie, Bistrot
Google summary: Old-school bistro offering elevated, traditional French dishes & wines in a warm atmosphere.
Google Maps: https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.restaurant-allard.fr/
Booking: https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Ambassade d’Auvergne,"22 rue du grenier-saint-lazare, Paris 75003",Paris,3e,,restaurant,,€€€,4.2,2020,48.8630446,2.3534095,https://maps.google.com/?cid=11113300398678527964&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.ambassade-auvergne.com/,https://thefork.fr/restaurant/ambassade-d-auvergne-r841113/?cc=24751-923,"Type: French Restaurant
Arrondissement: 3e
Price: €€€
Google: 4.2 (2,020 reviews)
Food types: restaurant
Tags: Restaurant
Google summary: Venerable locale with exposed rafters & vintage posters, serving traditional Auvergne cuisine.
Google Maps: https://maps.google.com/?cid=11113300398678527964&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.ambassade-auvergne.com/
Booking: https://thefork.fr/restaurant/ambassade-d-auvergne-r841113/?cc=24751-923"
Ambos,"38 Rue de Vaugirard, 75006 Paris, France",Paris,6e,,restaurant,,,4.8,472,48.8493205,2.335224,https://maps.google.com/?cid=13800952535615180196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.ambos-restaurant.fr/,https://thefork.fr/restaurant/ambos-r745197/?cc=24751-923,"Type: French Restaurant
Arrondissement: 6e
Google: 4.8 (472 reviews)
Food types: restaurant
Tags: Gastro / higher end, Thaï, Frenchie
Google Maps: https://maps.google.com/?cid=13800952535615180196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.ambos-restaurant.fr/
Booking: https://thefork.fr/restaurant/ambos-r745197/?cc=24751-923"
Armande,"26 Rue Tholozé, 75018 Paris, France",Paris,18e,,restaurant,,,5,414,48.8865388,2.3355589,https://maps.google.com/?cid=4536107868716594584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: French Restaurant
Arrondissement: 18e
Google: 5.0 (414 reviews)
Food types: restaurant
Tags: Cafe, Restaurant
Google Maps: https://maps.google.com/?cid=4536107868716594584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Arnaud Nicolas Charcuterie Cuisinée,"46 Avenue de la Bourdonnais, 75007 Paris, France",Paris,7e,,restaurant,,,,,48.8569275,2.3010287,https://www.google.com/maps/search/?api=1&query=Arnaud%20Nicolas%20Charcuterie%20Cuisin%C3%A9e%2C%20Paris%2C%20France,http://arnaudnicolas.paris/,https://thefork.fr/restaurant/arnaud-nicolas-r313657/?cc=24751-923,"Arrondissement: 7e
Food types: restaurant
Tags: Frenchie, Restaurant, Meat
Google Maps: https://www.google.com/maps/search/?api=1&query=Arnaud%20Nicolas%20Charcuterie%20Cuisin%C3%A9e%2C%20Paris%2C%20France
Website: http://arnaudnicolas.paris/
Booking: https://thefork.fr/restaurant/arnaud-nicolas-r313657/?cc=24751-923"
Astier,"44 Rue Jean-Pierre Timbaud, 75011 Paris, France",Paris,11e,,restaurant,,,,,48.8662113,2.3720222,https://www.google.com/maps/search/?api=1&query=Astier%2C%20Paris%2C%20France,http://www.restaurant-astier.com/,https://thefork.fr/restaurant/astier-r5686/?cc=24751-923,"Arrondissement: 11e
Food types: restaurant
Tags: Frenchie, Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Astier%2C%20Paris%2C%20France
Website: http://www.restaurant-astier.com/
Booking: https://thefork.fr/restaurant/astier-r5686/?cc=24751-923"
Astrance,"32 Rue de Longchamp, 75116 Paris, France",Paris,16e,,restaurant,,€€€€,4.5,446,48.8655418,2.2831628,https://maps.google.com/?cid=1475113752476653515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.astrancerestaurant.com/,https://thefork.fr/restaurant/astrance-r688509/?cc=24751-923,"Type: French Restaurant
Arrondissement: 16e
Price: €€€€
Google: 4.5 (446 reviews)
Food types: restaurant
Tags: Gastro / higher end, Restaurant
Google Maps: https://maps.google.com/?cid=1475113752476653515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.astrancerestaurant.com/
Booking: https://thefork.fr/restaurant/astrance-r688509/?cc=24751-923"
Au Moulin A Vent,"20 Rue des Fossés Saint-Bernard, 75005 Paris, France",Paris,5e,,restaurant,,,,,48.8485564,2.354766199999999,https://www.google.com/maps/search/?api=1&query=Au%20Moulin%20A%20Vent%2C%20Paris%2C%20France,http://www.au-moulinavent.com/,https://bookings.zenchef.com/results?rid=363128&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Arrondissement: 5e
Food types: restaurant
Tags: Frenchie, Restaurant, Bistrot
Google Maps: https://www.google.com/maps/search/?api=1&query=Au%20Moulin%20A%20Vent%2C%20Paris%2C%20France
Website: http://www.au-moulinavent.com/
Booking: https://bookings.zenchef.com/results?rid=363128&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Au Petit Bar,"7 Rue du Mont-Thabor, 75001 Paris, France",Paris,1er,,restaurant,,€,4.6,353,48.8654785,2.3291239,https://maps.google.com/?cid=1408194716450924502&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.paris-bistro.com/choisir/paris1/au-petit-bar,,"Type: Bar
Arrondissement: 1er
Price: €
Google: 4.6 (353 reviews)
Food types: restaurant
Tags: Bistrot
Google summary: Old-school, family-owned cafe & 24-seat bar offering homestyle bistro classics alongside wine.
Google Maps: https://maps.google.com/?cid=1408194716450924502&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.paris-bistro.com/choisir/paris1/au-petit-bar"
