place_id,name,address,city,neighborhood,arrondissement,cuisine_type,food_type,price_range,tags,source_url,evidence_snippet,confidence_score,needs_review,reviewer_notes,approved,corrected_name,corrected_address,corrected_city,corrected_neighborhood,corrected_price_range,corrected_tags
cmogx2lcb007inwb2prrbwz8b,48 Collagen Café,,Paris,,,,cafe,,"madame-figaro, wellness, 9e",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-au-48-collagen-cafe-premier-cafe-dedie-au-collagene-a-paris-20240123,"ÉPISODE 16.- Dans ce seizième épisode, Philippine Darblay nous ouvre les portes du 48 Collagen Café, le premier café spécialisé dans le collagène, situé dans le IXe arrondissement de Paris.",0.58,true,,,,,,,,
cmogx2leo007onwb2wk7fbx1w,Donna,,Paris,,,,"bar, restaurant",,"madame-figaro, wine-bar, centre-pompidou",https://mapstr.com/map/philoudarblay,"Saved on Philippine Darblay's public Mapstr map: Donna — Rue Saint-Martin, Paris, France",0.58,true,,,,,,,,
cmogx2lg1007unwb2beuhc2ry,Manteigaria,,Paris,,,Portuguese,"bakery, pastry-shop",,"madame-figaro, pastry, pastel-de-nata",https://madame.lefigaro.fr/cuisine/tendances-culinaires/en-video-les-adresses-de-philippine-chez-manteigaria-temple-du-pasteis-de-nata-20231114,"ÉPISODE 9.- Dans ce neuvième épisode, Philippine Darblay explore Manteigaria, une petite boutique portugaise spécialisée dans les pasteis de nata.",0.58,true,,,,,,,,
cmogx2lib0080nwb28b13ecq4,Muse,,Paris,,,Afro-Caribbean,restaurant,,"madame-figaro, afro-caribbean",https://madame.lefigaro.fr/cuisine/tendances-culinaires/en-video-les-adresses-de-philippine-chez-muse-le-nouveau-restaurant-afro-caribeen-20240408,ÉPISODE 26.-Imaginez un restaurant niché au cœur d'un vaste espace entièrement dédié au cinéma. Bienvenue chez Muse...,0.58,true,,,,,,,,
cmogx2llc0086nwb2a2lanlqf,Nepita,,Paris,,,Mediterranean,restaurant,,"madame-figaro, madeleine, hotel-restaurant",https://madame.lefigaro.fr/cuisine/tendances-culinaires/en-video-les-adresses-de-philippine-chez-nepita-le-nouveau-restaurant-aux-inspirations-mediterraneenne-20240611,"ÉPISODE 31.- Rendez-vous chez Nepita, le nouveau restaurant de l’hôtel Florida situé dans le quartier de la Madeleine à Paris. Philippine Darblay nous propose d’y découvrir une cuisine colorée et créative.",0.58,true,,,,,,,,
cmogx2l630076nwb225dou4y3,27/4 Sushi Yoshinaga,,Paris,,2e,Japanese,restaurant,,"madame-figaro, omakase, high-end",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-au-27-4-le-nouveau-temple-de-l-art-de-vivre-japonais-a-paris-20231027,"ÉPISODE 6.- Dans ce sixième épisode, Philippine Darblay pousse les portes du 27/4 Sushi Yoshinaga, le nouveau restaurant japonais d'omakase à Paris qui va faire beaucoup parler de lui.",0.66,true,,,,,,,,
cmogx2l7h007cnwb2oydf5s7c,Kapé,,Paris,,11e,Filipino,cafe,,"madame-figaro, coffee, 11e",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-chez-kape-le-nouveau-cafe-philippin-a-paris-20240219,"ÉPISODE 20.- Dans ce vingtième épisode, Philippine Darblay nous ouvre les portes de Kapé, un café philippin sis dans le XIe arrondissement de Paris.",0.66,true,,,,,,,,
cmogx2lo8008cnwb27fnn9yk0,Café de l’Usine,,Paris,,11e,,restaurant,,"madame-figaro, 11e, chef-driven",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-au-cafe-de-l-usine-pour-decouvrir-la-carte-de-la-cheffe-alice-arnoux-20241206,"ÉPISODE 51.- Cette semaine, Philippine Darblay nous propose de déjeuner dans le dernier restaurant parisien de la cheffe Arnoux.",0.66,true,,,,,,,,
cmogx2lpb008inwb29dg4g3md,La Datcha,,Paris,,11e,,"restaurant, brunch",,"madame-figaro, 11e, brunch",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-a-la-datcha-pour-un-brunch-gourmand-et-raffine-20241204,"ÉPISODE 49.- Cette semaine, Philippine Darblay nous donne rendez-vous dans le 11e arrondissement de Paris, dans un restaurant bistronomique.",0.66,true,,,,,,,,
cmogx2lq7008onwb2abv8atuy,Matka,,Paris,,3e,Polish,restaurant,,"madame-figaro, 3e, polish",https://madame.lefigaro.fr/cuisine/actu-cuisine/en-video-les-adresses-de-philippine-au-restaurant-matka-20241021,"ÉPISODE 45. - Cette semaine, Philippine Darblay nous propose un petit voyage à la découverte des saveurs polonaises dans un restaurant pour lequel elle a eu un véritable coup de cœur. ",0.66,true,,,,,,,,
