name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
Dallal Cafe,"11, Kol Israel Haverim St 1, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,restaurant,,,,,32.0608378,34.76406480000001,https://www.google.com/maps/search/?api=1&query=Dallal%20Cafe%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,http://dallal.co.il/,,"Food types: restaurant
Tags: Bakery
Google Maps: https://www.google.com/maps/search/?api=1&query=Dallal%20Cafe%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: http://dallal.co.il/"
Dizengoff Center,Dizengoff St 81 Tel Aviv-Yafo 0,Tel Aviv-Yafo,,,shopping,,,,,32.0750224,34.7749395,https://www.google.com/maps/search/?api=1&query=Dizengoff%20Center%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,http://www.dizengof-center.co.il/,,"Food types: shopping
Tags: Place to visit
Google Maps: https://www.google.com/maps/search/?api=1&query=Dizengoff%20Center%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: http://www.dizengof-center.co.il/"
Dok,"Ibn Gabirol St 8, Tel Aviv-Yafo, Israel",Tel Aviv-Yafo,,,restaurant,,,,,32.0720644,34.7821624,https://www.google.com/maps/search/?api=1&query=Dok%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,http://www.facebook.com/Doktorworkshop/,,"Food types: restaurant
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Dok%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: http://www.facebook.com/Doktorworkshop/"
Edmond Coffee,"Allenby St 97, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,cafe,,,,,32.0647778,34.7725891,https://www.google.com/maps/search/?api=1&query=Edmond%20Coffee%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,,,"Food types: cafe
Tags: Cafe
Google Maps: https://www.google.com/maps/search/?api=1&query=Edmond%20Coffee%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl"
HaSalon,"Ma'Avar Yabbok 8, 6744012 Tel-Aviv, Israël",Tel Aviv-Yafo,,,generic,,,,,32.0732,34.80025,https://www.google.com/maps/search/?api=1&query=HaSalon%2C%20Tel%20Aviv-Yafo%2C%20Israel,https://hasalontlv.com,,"Food types: generic
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=HaSalon%2C%20Tel%20Aviv-Yafo%2C%20Israel
Website: https://hasalontlv.com"
Herzl 16,"16, Herzl St, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,restaurant,,,,,32.0618726,34.77014339999999,https://www.google.com/maps/search/?api=1&query=Herzl%2016%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,http://www.herzl16.co.il/,,"Food types: restaurant
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Herzl%2016%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: http://www.herzl16.co.il/"
Josmino,"Allenby St 99, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,restaurant,,,,,32.0645817,34.77261059999999,https://www.google.com/maps/search/?api=1&query=Josmino%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,http://www.vitrinasymaniquiesjosmin.com/,,"Food types: restaurant
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Josmino%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: http://www.vitrinasymaniquiesjosmin.com/"
Mirage,"3817 St, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,restaurant,,,,,32.0609844,34.7690865,https://www.google.com/maps/search/?api=1&query=Mirage%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,https://instagram.com/miragetelaviv?utm_medium=copy_link,,"Food types: restaurant
Tags: Cafe
Google Maps: https://www.google.com/maps/search/?api=1&query=Mirage%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: https://instagram.com/miragetelaviv?utm_medium=copy_link"
Mondo 2000,"Levinsky 39, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,bar,,,,,32.0599213,34.7716146,https://www.google.com/maps/search/?api=1&query=Mondo%202000%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,https://www.facebook.com/themondo2000/,,"Food types: bar
Tags: Dancing
Google Maps: https://www.google.com/maps/search/?api=1&query=Mondo%202000%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: https://www.facebook.com/themondo2000/"
Opa,"Ha-Khalutzim St 8, Tel Aviv-Yafo, Israël",Tel Aviv-Yafo,,,restaurant,,,,,32.0600462,34.7732208,https://www.google.com/maps/search/?api=1&query=Opa%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl,https://www.opatlv.co.il/,,"Food types: restaurant
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Opa%2C%20Tel%20Aviv-Yafo%2C%20Isra%C3%ABl
Website: https://www.opatlv.co.il/"
