name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
A la Folie Théâtre,"6 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,generic,,,4.4,213,48.86141929999999,2.3748357,https://maps.google.com/?cid=8736004116634024602&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.folietheatre.com/,,"Type: Performing Arts Theater
Arrondissement: 11e
Google: 4.4 (213 reviews)
Food types: generic
Tags: Cafe
Google Maps: https://maps.google.com/?cid=8736004116634024602&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.folietheatre.com/"
Abattoir végétal,"9 Rue Guisarde, 75006 Paris, France",Paris,6e,,restaurant,,,,,48.8517649,2.3346752,https://maps.google.com/?cid=17855369776657667196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.abattoirvegetal.com/,,"Type: Restaurant
Arrondissement: 6e
Food types: restaurant
Tags: Cafe
Google Maps: https://maps.google.com/?cid=17855369776657667196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.abattoirvegetal.com/"
Arabica,8 Rue de Castiglione 75001 Paris France,Paris,1er,,generic,,,4.5,129,48.86579132080078,2.327883720397949,https://maps.google.com/?cid=13182459160590547618&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Coffee Shop
Arrondissement: 1er
Google: 4.5 (129 reviews)
Food types: generic
Tags: Cafe
Google Maps: https://maps.google.com/?cid=13182459160590547618&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Arabica,"83P Rue du Bac, 75007 Paris, Francia",Paris,7e,,generic,,,4.5,1218,48.8543713,2.3249371,https://maps.google.com/?cid=1015852265771588257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.certified.cafe/,,"Type: Cafe
Arrondissement: 7e
Google: 4.5 (1,218 reviews)
Food types: generic
Tags: Cafe
Google Maps: https://maps.google.com/?cid=1015852265771588257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.certified.cafe/"
Armande,"26 Rue Tholozé, 75018 Paris, France",Paris,18e,,restaurant,,,5,414,48.8865388,2.3355589,https://maps.google.com/?cid=4536107868716594584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: French Restaurant
Arrondissement: 18e
Google: 5.0 (414 reviews)
Food types: restaurant
Tags: Cafe, Restaurant
Google Maps: https://maps.google.com/?cid=4536107868716594584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
BUDDY BUDDY 🥜,"15 Rue de Marseille, 75010 Paris, France",Paris,10e,,cafe,,,4.6,1149,48.871677,2.363620099999999,https://maps.google.com/?cid=10252212821854942931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.buddybuddy.co/,,"Type: Coffee Shop
Arrondissement: 10e
Google: 4.6 (1,149 reviews)
Food types: cafe
Tags: Cafe
Google Maps: https://maps.google.com/?cid=10252212821854942931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.buddybuddy.co/"
Back in Black,"25 Rue Amelot, 75011 Paris, France",Paris,11e,,"cafe, brunch",,€€,4.5,1231,48.8562272,2.3690622,https://maps.google.com/?cid=3631988056719622990&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://linktr.ee/backinblackcoffee,https://bookings.zenchef.com/results?rid=377537&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 11e
Price: €€
Google: 4.5 (1,231 reviews)
Food types: cafe, brunch
Tags: Brunch, Cafe
Google summary: Espresso, pastries & all-day breakfast in a streamlined locale offering beans & roastery workshops.
Google Maps: https://maps.google.com/?cid=3631988056719622990&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://linktr.ee/backinblackcoffee
Booking: https://bookings.zenchef.com/results?rid=377537&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Bel Horizon Coffee Roasters,"Boulevard Garibaldi, Paris, France",Paris,,,cafe,,,4.8,585,48.8468636,2.3044821,https://maps.google.com/?cid=16162977047889895338&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.belhorizoncoffee.com/,,"Type: Coffee roastery
Google: 4.8 (585 reviews)
Food types: cafe
Tags: Cafe
Google Maps: https://maps.google.com/?cid=16162977047889895338&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.belhorizoncoffee.com/"
Benchy,"Rue du Cherche-Midi, Paris, France",Paris,,,restaurant,,,4.2,404,48.8492484,2.3256964,https://maps.google.com/?cid=2474453887306421118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Sandwich Shop
Google: 4.2 (404 reviews)
Food types: restaurant
Tags: Cafe, Japanese
Google Maps: https://maps.google.com/?cid=2474453887306421118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Blondie Coffee Shop,"40 Rue Saint-Georges, 75009 Paris, France",Paris,9e,,cafe,,,4.7,1190,48.8766495,2.3372073,https://maps.google.com/?cid=16744370551790401715&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.cafeblondie.com/,,"Type: Coffee Shop
Arrondissement: 9e
Google: 4.7 (1,190 reviews)
Food types: cafe
Tags: Cafe, Restaurant
Google Maps: https://maps.google.com/?cid=16744370551790401715&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.cafeblondie.com/"
