name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
A La Renaissance,"87 Rue de la Roquette, 75011 Paris, France",Paris,11e,,bar,,€€,4.3,510,48.8571599,2.3786809,https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.restaurant-a-la-renaissance.com/,,"Type: Bistro
Arrondissement: 11e
Price: €€
Google: 4.3 (510 reviews)
Food types: bar
Tags: Bistrot, Dancing
Google Maps: https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.restaurant-a-la-renaissance.com/"
Augustin Marchand d'Vins,"26 Rue des Grands Augustins, 75006 Paris, France",Paris,6e,,restaurant,,,4.7,194,48.85365969999999,2.3401642,https://maps.google.com/?cid=4179791678540243519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://augustinmarchand.com/,https://bookings.zenchef.com/results?rid=357920&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 6e
Google: 4.7 (194 reviews)
Food types: restaurant
Tags: Bar, Natural wine
Google Maps: https://maps.google.com/?cid=4179791678540243519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://augustinmarchand.com/
Booking: https://bookings.zenchef.com/results?rid=357920&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Aux Deux Amis,"45 Rue Oberkampf, 75011 Paris, France",Paris,11e,,restaurant,,€€,4.1,841,48.86458069999999,2.3718376,https://maps.google.com/?cid=5700510830722341713&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.facebook.com/Aux-Deux-Amis-120307971356817/,,"Type: Bistro
Arrondissement: 11e
Price: €€
Google: 4.1 (841 reviews)
Food types: restaurant
Tags: Natural wine, Restaurant, ❤️, Trendy, Bar
Google summary: Cold cuts, small plates & natural wines at a cozy modern bar with counter seats & sidewalk tables.
Google Maps: https://maps.google.com/?cid=5700510830722341713&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.facebook.com/Aux-Deux-Amis-120307971356817/"
B.B.N vins natures et livres qui en parlent,"Rue Saint-Sauveur, Paris, France",Paris,,,generic,,,,,48.86599349975586,2.348423480987549,https://www.google.com/maps/search/?api=1&query=B.B.N%20vins%20natures%20et%20livres%20qui%20en%20parlent%2C%20Paris%2C%20France,http://www.biobiodynamienature.com/,,"Food types: generic
Tags: Natural wine, Shopping
Google Maps: https://www.google.com/maps/search/?api=1&query=B.B.N%20vins%20natures%20et%20livres%20qui%20en%20parlent%2C%20Paris%2C%20France
Website: http://www.biobiodynamienature.com/"
BAMBINO,"25 Rue Saint-Sébastien, 75011 Paris, France",Paris,11e,,bar,,,3.8,1114,48.8613679,2.3698336,https://maps.google.com/?cid=13537161601735890259&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.bambinoparis.com/,https://bookings.zenchef.com/results?rid=369608&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 11e
Google: 3.8 (1,114 reviews)
Food types: bar
Tags: Natural wine, Dancing, Bar
Google summary: Hip eatery with an open kitchen serving small plates, craft beer & cocktails, plus desserts.
Google Maps: https://maps.google.com/?cid=13537161601735890259&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.bambinoparis.com/
Booking: https://bookings.zenchef.com/results?rid=369608&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Bar Principal,"5 Rue du Général Renault, 75011 Paris, France",Paris,11e,,bar,,,4.6,166,48.8615187,2.3781291,https://maps.google.com/?cid=13661270594052716239&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Bar
Arrondissement: 11e
Google: 4.6 (166 reviews)
Food types: bar
Tags: Wine bar, Natural wine
Google Maps: https://maps.google.com/?cid=13661270594052716239&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Bar de la Croix Rouge,"2 Place Michel Debré, 75006 Paris, France",Paris,6e,,generic,,,3.4,393,48.85226,2.329791,https://maps.google.com/?cid=4719454937861824571&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Restaurant
Arrondissement: 6e
Google: 3.4 (393 reviews)
Food types: generic
Tags: Bar
Google Maps: https://maps.google.com/?cid=4719454937861824571&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Bibie Paris,"7 rue Lacépède, 75005 Paris",Paris,5e,,bar,,,4.6,1041,48.84364,2.35368,https://maps.google.com/?cid=10435521713767672844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.bibie-paris.com/,,"Type: Restaurant
Arrondissement: 5e
Google: 4.6 (1,041 reviews)
Food types: bar
Tags: Restaurant, Bar
Google Maps: https://maps.google.com/?cid=10435521713767672844&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.bibie-paris.com/"
Biotiful Batignolles,"18 Rue Biot, 75017 Paris, France",Paris,17e,,restaurant,,,,,48.88453080000001,2.3260473,https://www.google.com/maps/search/?api=1&query=Biotiful%20Batignolles%2C%20Paris%2C%20France,www.biotifulbatignolles.fr,https://ib.guestonline.fr/instabook/bookings/P1XrFWY,"Arrondissement: 17e
Food types: restaurant
Tags: Wine bar, Deco, Cocktail
Google Maps: https://www.google.com/maps/search/?api=1&query=Biotiful%20Batignolles%2C%20Paris%2C%20France
Website: www.biotifulbatignolles.fr
Booking: https://ib.guestonline.fr/instabook/bookings/P1XrFWY"
Bonvivant,"Rue des Écoles, Paris, France",Paris,,,restaurant,,€€,4.4,2537,48.8475454,2.3519748,https://maps.google.com/?cid=11268889822182331848&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.bonvivant.paris/,https://bookings.zenchef.com/results?rid=357254&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Price: €€
Google: 4.4 (2,537 reviews)
Food types: restaurant
Tags: Frenchie, Natural wine
Google summary: Buzzy bistro with a long wine list & robust steaks, grills & bar food, plus al fresco seating.
Google Maps: https://maps.google.com/?cid=11268889822182331848&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.bonvivant.paris/
Booking: https://bookings.zenchef.com/results?rid=357254&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
