name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
ALMAS,"Rue de Chabrol, Paris, France",Paris,,,restaurant,,,5,130,48.8769653,2.3525352,https://maps.google.com/?cid=5487986251545238210&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://almasrestaurant.fr/,,"Type: Restaurant
Google: 5.0 (130 reviews)
Food types: restaurant
Tags: Restaurant, Street food
Google Maps: https://maps.google.com/?cid=5487986251545238210&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://almasrestaurant.fr/"
AMA PARIS,"2 Rue Bichat, 75010 Paris, France",Paris,10e,,restaurant,,,4,1008,48.86965,2.36932,https://maps.google.com/?cid=4519042102872921569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://ama-paris.fr/,https://bookings.zenchef.com/results?rid=353663&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 10e
Google: 4.0 (1,008 reviews)
Food types: restaurant
Tags: Restaurant
Google Maps: https://maps.google.com/?cid=4519042102872921569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://ama-paris.fr/
Booking: https://bookings.zenchef.com/results?rid=353663&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
AVE Pizza Romana,"90 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.7,1576,48.8669478,2.3696267,https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://ave-pizza-romana.business.site/,https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.7 (1,576 reviews)
Food types: restaurant
Tags: Restaurant, Italian
Google summary: Airy, contemporary pizzeria serving Roman-style pies, plus calzones, starters, cocktails & desserts.
Google Maps: https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://ave-pizza-romana.business.site/
Booking: https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Acid Lactic,"15 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.3,39,48.8621272,2.3739241,https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.3 (39 reviews)
Food types: restaurant
Tags: bootstrap, paris, Pizza
Google Maps: https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Allard,41 rue Saint-André Des Arts Paris 75006,Paris,6e,,restaurant,,€€€,4.3,1269,48.85330320000001,2.3410216,https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.restaurant-allard.fr/,https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 6e
Price: €€€
Google: 4.3 (1,269 reviews)
Food types: restaurant
Tags: Frenchie, Bistrot
Google summary: Old-school bistro offering elevated, traditional French dishes & wines in a warm atmosphere.
Google Maps: https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.restaurant-allard.fr/
Booking: https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Ama Siam,"49 Rue de Belleville, 75019 Paris, France",Paris,19e,,restaurant,,,4.5,222,48.8731455,2.380934,https://maps.google.com/?cid=12753787120855512862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.instagram.com/amasiam.paris/,,"Type: Thai Restaurant
Arrondissement: 19e
Google: 4.5 (222 reviews)
Food types: restaurant
Tags: Restaurant, Vietnamiese
Google Maps: https://maps.google.com/?cid=12753787120855512862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.instagram.com/amasiam.paris/"
Amagat,"23 Villa Riberolle, 75020 Paris, France",Paris,20e,,restaurant,,,4,339,48.85804539999999,2.396694799999999,https://maps.google.com/?cid=7537745217197584923&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.amagatparis.fr/,,"Type: Restaurant
Arrondissement: 20e
Google: 4.0 (339 reviews)
Food types: restaurant
Tags: Restaurant, Trendy, ❤️
Google summary: Laid-back, simply furnished destination serving traditional small plates, desserts & wine.
Google Maps: https://maps.google.com/?cid=7537745217197584923&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.amagatparis.fr/"
Ambassade d’Auvergne,"22 rue du grenier-saint-lazare, Paris 75003",Paris,3e,,restaurant,,€€€,4.2,2020,48.8630446,2.3534095,https://maps.google.com/?cid=11113300398678527964&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.ambassade-auvergne.com/,https://thefork.fr/restaurant/ambassade-d-auvergne-r841113/?cc=24751-923,"Type: French Restaurant
Arrondissement: 3e
Price: €€€
Google: 4.2 (2,020 reviews)
Food types: restaurant
Tags: Restaurant
Google summary: Venerable locale with exposed rafters & vintage posters, serving traditional Auvergne cuisine.
Google Maps: https://maps.google.com/?cid=11113300398678527964&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.ambassade-auvergne.com/
Booking: https://thefork.fr/restaurant/ambassade-d-auvergne-r841113/?cc=24751-923"
Anahi,"49 Rue Volta, 75003 Paris, France",Paris,3e,,restaurant,,€€€€,4.3,490,48.86704959999999,2.3582183,https://maps.google.com/?cid=3269382794094178512&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.anahi-paris.com/,https://www.sevenrooms.com/reservations/anahiparis,"Type: South American Restaurant
Arrondissement: 3e
Price: €€€€
Google: 4.3 (490 reviews)
Food types: restaurant
Tags: Argentinian, Restaurant
Google Maps: https://maps.google.com/?cid=3269382794094178512&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.anahi-paris.com/
Booking: https://www.sevenrooms.com/reservations/anahiparis"
Anima,"78 Rue du Cherche-Midi, 75006 Paris, France",Paris,6e,,restaurant,,€€,4.2,766,48.8480208,2.3235003,https://maps.google.com/?cid=16278103625304564261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://anima.paris/,https://bookings.zenchef.com/results?rid=360988&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Italian Restaurant
Arrondissement: 6e
Price: €€
Google: 4.2 (766 reviews)
Food types: restaurant
Tags: bootstrap, left-bank, Pizza
Google summary: Fashionable restaurant in a former tapestry workshop dishing up traditional Italian cuisine.
Google Maps: https://maps.google.com/?cid=16278103625304564261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://anima.paris/
Booking: https://bookings.zenchef.com/results?rid=360988&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
